cell_type,true_cells,predicted_cells,tp,recall,precision,method
CD4 T cells,85,83,83,0.9764705882352941,1.0,rule
CD8 T cells,88,90,87,0.9886363636363636,0.9666666666666667,rule
Endothelial cells,72,69,68,0.9444444444444444,0.9855072463768116,rule
Fibroblasts,128,128,126,0.984375,0.984375,rule
Macrophages,119,116,116,0.9747899159663865,1.0,rule
Tumor state A,154,150,149,0.9675324675324676,0.9933333333333333,rule
Tumor state B,121,120,120,0.9917355371900827,1.0,rule
CD4 T cells,85,92,83,0.9764705882352941,0.9021739130434783,scanpy
CD8 T cells,88,90,81,0.9204545454545454,0.9,scanpy
Endothelial cells,72,70,65,0.9027777777777778,0.9285714285714286,scanpy
Fibroblasts,128,128,123,0.9609375,0.9609375,scanpy
Macrophages,119,123,113,0.9495798319327731,0.9186991869918699,scanpy
Tumor state A,154,141,135,0.8766233766233766,0.9574468085106383,scanpy
Tumor state B,121,123,116,0.9586776859504132,0.943089430894309,scanpy
